Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
10,0,6,4,no,no,Quantum Computing Certification,Cloud Computing,good,very good,developer,Cloud Computing,developer,no,Action and Adventure,Technical,smart worker,yes,yes,Cloud Solutions Architect
3,0,8,10,no,yes,Certified ERP Consultant,ERP Systems,very good,good,cloud computing,ERP,Sales and Marketing,yes,Biographies,Management,hard worker,yes,no,ERP Consultant
10,7,10,7,no,no,ar/vr development,AR/VR Development,medium,medium,cloud computing,Web Development,Big Data Companies,yes,Art,Technical,smart worker,no,no,Systems Analyst
8,1,4,2,yes,yes,Machine Learning,AI,good,good,cloud computing,AI,security,yes,Guide,Technical,hard worker,yes,yes,Machine Learning Engineer
5,9,8,8,yes,yes,Certified ERP Consultant,ERP Systems,medium,good,developer,ERP,Finance,yes,Comics,Management,hard worker,yes,yes,ERP Consultant
1,5,10,10,yes,no,Data Science,Data Science,medium,good,cloud computing,AI,developer,no,Comics,Technical,smart worker,no,no,Big Data Engineer
4,3,1,7,yes,yes,Quantum Computing Certification,Cloud Computing,very good,good,developer,Cloud Computing,developer,no,Drama,Technical,smart worker,yes,no,Cloud Solutions Architect
4,8,2,3,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),medium,good,developer,Robotics,developer,yes,Mystery,Management,smart worker,yes,yes,IT Project Manager
6,1,1,5,no,yes,Machine Learning,Machine Learning,excellent,very good,cloud computing,Machine Learning,security,no,Dictionaries,Technical,hard worker,yes,no,Machine Learning Engineer
3,0,4,5,no,no,Robotics Engineering Certification,Cloud Computing,excellent,good,cloud computing,Cloud Computing,developer,yes,Journals,Technical,hard worker,yes,yes,Cloud Solutions Architect
7,2,7,9,yes,yes,Robotics Engineering Certification,Cloud Computing,good,good,security,Cloud Computing,developer,yes,Comics,Technical,smart worker,yes,yes,Cloud Solutions Architect
10,2,6,2,yes,yes,blockchain developer,Blockchain Technologies,excellent,medium,security,Blockchain Development,Systems Analysis Firms,yes,Series,Technical,hard worker,no,no,Blockchain Developer
5,3,7,1,no,yes,ai for healthcare,AI for Healthcare,excellent,good,security,AI Research,Web Services,yes,Dictionaries,Technical,smart worker,no,no,AI Specialist
10,7,8,4,yes,yes,devops certified engineer,DevOps,medium,excellent,developer,DevOps,Testing and Maintainance Services,yes,Art,Technical,hard worker,no,yes,DevOps Engineer
8,6,8,10,no,no,Quantum Computing Certification,Cloud Computing,very good,excellent,security,Cloud Computing,developer,no,Math,Technical,smart worker,yes,no,Cloud Solutions Architect
9,8,6,4,no,yes,devops certified engineer,DevOps,very good,good,developer,DevOps,Testing and Maintainance Services,yes,Autobiographies,Technical,hard worker,no,yes,DevOps Engineer
